"Text";"Id"
"RT @GCasaroes: Deu na @VEJA: o novo partido de Bolsonaro se chamará Aliança pelo Brasil.

Não custa lembrar que o último partido brasileiro…";"1194015573967097856"
"RT @AgoraNoticiasBr: Witzel critica governo e seguidores de Bolsonaro: ‘bolsominions que fazem terrorismo na internet’ https://t.co/km2tUGG…";"1194015573665030144"
"ainda tem gay dizendo que é avanço, te entrego nas mãos de bolsonaro";"1194015573660880896"
"RT @revistaforum: Bolsonaro está com medo de Lula. Com anúncio que o petista vai rodar o Brasil para falar dos desmandos que vem ocorrendo…";"1194015571970547716"
"RT @IvanValente: Pressão total no STF.

É hora de derrubar a decisão de Toffoli que suspendeu as investigações que usam dados do COAF.

São…";"1194015571421093889"
"RT @OlavoOpressor: Na famosa declaração do Eduardo Bolsonaro sobre o AI-5, tudo o que ele fez foi apontar a uma possibilidade histórica e e…";"1194015570217361408"
"RT @TheInterceptBr: Essa obsessão em busca de uma falsa imparcialidade é bastante comum entre jornalistas. Quando precisa se posicionar, o…";"1194015570217316357"
"RT @brupls: quem foi o retardado que preferiu ter mais 1h hora de sol de manhã do que a tarde ah claro foi o imbecil do bolsonaro";"1194015569613381638"
"RT @folha_cotidiano: Bolsonaro extingue seguro obrigatório para veículos, o DPVAT https://t.co/RuKcDlr3Ex";"1194015569508491264"
"RT @crisbezig: @brasil247 Bolsonaro só tira do povo. 
#ForaBolsonaroESeuBandoDeCriminosos";"1194015568887779334"
"RT @_remina: CARALHO FODASE A PORRA DO CARLOS BOLSONARO POSTANDO FOTO IDIOTA

TA ACONTECENDO A PORRA DE UM GOLPE NA BOLÍVIA CARALHO

UM GOL…";"1194015567914717187"
"RT @RenovaMidia: “Nosso papel é diminuir cada vez mais a guerra que vivemos e ainda perdemos no #Brasil!”, afirmou o presidente Jair Bolson…";"1194015566559895553"
